1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1701,0
1712,2
1713,0
1714,2
1715,1
1716,0
1717,0
1718,1
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,2
1732,3
1733,1
1734,0
1735,2
1736,0
1737,0
1738,0
1739,1
1740,0
1741,1
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,1
1749,0
1750,1
1751,0
1752,1
1753,3
1754,3
1755,1
1756,1
1757,0
1758,2
1759,0
1800,1
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,2
1811,0
1812,4
1813,1
1814,1
1815,2
1816,2
1817,3
1818,1
1819,0
1820,0
1821,4
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,1
1831,1
1832,1
1833,5
1834,2
1835,2
1836,0
1837,2
1838,0
1839,1
1840,0
1841,2
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,1
1852,0
1853,4
1854,1
1855,1
1856,0
1857,0
1858,1
1859,0
1900,1
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,1
1912,4
1913,0
1914,0
1915,1
1916,0
1917,1
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,2
1932,4
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,1
1940,1
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,3
1955,3
1956,0
1957,0
1958,0
1959,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,1
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
